RUN;Nombre Docente;1er Apellido Docente;2so Apellido Docente;SEXO;Jerarquización;telefono;email personal;email  institucional;DEDICACIÓN;CONTRATO;JORNADA;SEDE;CARRERA;GRADO ACADÉMICO;;
129519484;Susan;Bones;RAMIREZ;F;ATD;345678912;susan.bones@poncedeleon.com;susan.bones@@lamejor;;HONORARIO;ambas;HOGWARTS;MAGIA;MAGISTER;;
132723203;Vernon;Dursley;RIQUELME;M;PEAS;789012356;vernon.dursley.renard@yeeha.com;vernon.dursley.renard@lamejor.com;;HONORARIO;ambas;HOGWARTS;MAGIA;MAGISTER;;
17932239;Angelina;Johnson;;F;INSD;456789013;angelina.johnson.reyes@yeeha.com;angelina.johnson.reyes@lamejor.com;;HONORARIO;diurno;BEAUXBATON;MAGIA;LICENCIATURA;;
18231420;David ;Yates;;M;;345678910;;;;HONORARIO;diurno;HOGWARTS;MAGIA;MAGISTER;;
19164741;David ;Heyman;;M;;345678910;;;;HONORARIO;diurno;HOGWARTS;MAGIA;MAGISTER;;
19277242;Argus;Filch;;M;JC1;678901235;argus.filch@gmall.com;argus.filch@lamejor.com;;HONORARIO;diurno;BEAUXBATON;;DOCTOR ;;
50846516;Dudley;Dursley;AGUILERA;M;ATD;234567894;dudley.dursley.plaza@coldmail.com;dudley.dursley.plaza@lamejor.com;;HONORARIO;;BEAUXBATON;HECHICERÍA;MAGISTER;;
62216545;Hannah;Abbott;;F;SIN;567890128;hannah.abbott@viana.com;hannah.abbott@@lamejor;;HONORARIO;;BEAUXBATON;HECHICERÍA;MAGISTER;;
90679397;Pansy;Parkinson;BASAEZ;F;JC1;567890131;pansy.parkinson.larroucau@coldmail.com;pansy.parkinson.larroucau@lamejor.com;40;FULL TIME;vespertino;HOGWARTS;MAGIA;MAGISTER;;
38410052;Daphne;Greengrass;;F;INSD;345678904;daphne.greengrass@michea.com;daphne.greengrass@lamejor;;HONORARIO;vespertino;BEAUXBATON;;MAGISTER;;
99522795;Poppy;Pomfrey;VALENZUELA;F;INSD;234567899;poppy.pomfrey@gmall.com;poppy.pomfrey@lamejor.com;40;FULL TIME;vespertino;HOGWARTS;MAGIA;LICENCIATURA;;
52199394;Ernie;Macmillan;;F;ASD;345678905;ernie.macmillan@riquelme.com;ernie.macmillan@lamejor;40;FULL TIME;vespertino;BEAUXBATON;HECHICERÍA;MAGISTER;Director(a) Carrera (i);
15137023;Alicia;Spinnet;;F;INSD;;alicia.spinnet.bascunan@gmall.com;alicia.spinnet.bascunan@lamejor.com;;;vespertino;;;;;
54966881;Filius;Flitwick;;F;SIN;456789016;filius.flitwick@coldmail.com;filius.flitwick@lamejor.com;;HONORARIO;vespertino;BEAUXBATON;HECHICERÍA;MAGISTER;;
113455484;Rolanda;Hooch;DURAN;F;SIN;890123465;rolanda.hooch@coldmail.com;rolanda.hooch@lamejor.com;40;FULL TIME;vespertino;HOGWARTS;MAGIA;;Director(a) Carrera (i);
56799171;Gilderoy;Lockhart;MICHEA;M;ATD;901234571;gilderoy.lockhart@yeeha.com;gilderoy.lockhart@lamejor.com;;HONORARIO;vespertino;BEAUXBATON;HECHICERÍA;DOCTOR ;;
115757061;Rowena; Ravenclaw;;F;JC1;234567900;rowena.ravenclaw.vargas@gmall.com;rowena.ravenclaw.vargas@lamejor.com;;HONORARIO;vespertino;HOGWARTS;MAGIA;MAGISTER;;
62727229;Hermione;Granger;;F;ASD;890123461;hermione.granger.benavides@coldmail.com;hermione.granger.benavides@lamejor.com;;HONORARIO;vespertino;BEAUXBATON; HECHICERÍA;DOCTOR;;
72706890;Lucius;Malfoy;;M;INSD;345678908;lucius.malfoy.aguilera@yeeha.com;lucius.malfoy.aguilera@lamejor.com;;HONORARIO;diurno;HOGWARTS;MAGIA;MAGISTER;;
122699188;Salazar ;Slytherin;PARDO;M;ATD;567890133;salazar.slytherin.avila@yeeha.com;salazar.slytherin.avila@lamejor.com;;HONORARIO;vespertino;HOGWARTS;MAGIA;MAGISTER;;
73750567;Luna;Lovegood;;F;ATD;456789019;luna.lovegood.diaz@yeeha.com;luna.lovegood.diaz@lamejor.com;;;vespertino;HOGWARTS;MAGIA;MAGISTER;;
114059711;Ron;Weasley;EL INNOMBRABLE;M;JC1;901234576;ron.weasley.irarrazabal@gmall.com;ron.weasley.irarrazabal@lamejor.com;40;FULL TIME;vespertino;HOGWARTS;MAGIA;;Director Clínica ;
129025482;Silvanusn.;Kettleburn;;M;SIN;901234577;silvanus.kettleburn@gmall.com;silvanus.kettleburn@lamejor.com;;HONORARIO;vespertino;HOGWARTS;MAGIA;MAGISTER;;
119234212;Rufus;Scrimgeour;;M;SIN;456789022;rufus.scrimgeour.devia@coldmail.com;rufus.scrimgeour.devia@lamejor.com;;HONORARIO;vespertino;HOGWARTS;MAGIA;LICENCIATURA;;
124333098;Seamus;Finnigan;DEVIA;M;JC1;678901244;seamus.finnigan.contreras@coldmail.com;seamus.finnigan.contreras@lamejor.com;;HONORARIO;vespertino;HOGWARTS;MAGIA;MAGISTER;;
129406030;Sirius;Black;;M;INSD;234567901;sirius.black.esquivel@coldmail.com;sirius.black.esquivel@lamejor.com;40;FULL TIME;vespertino;HOGWARTS;MAGIA;MAGISTER;Director (a) Centro de Sol. Colab.de C;
130689724;Terry;Boot;;F;SIN;567890134;terry.boot.diaz@coldmail.com;terry.boot.diaz@lamejor.com;40;FULL TIME;vespertino;HOGWARTS;MAGIA;MAGISTER;Director Inst. Investigación y Postgra;
129645558;Sybill;Trelawney;;F;SIN;456789023;sybill.trelawney@gmall.com;sybill.trelawney@lamejor.com;;HONORARIO;vespertino;HOGWARTS;MAGIA;MAGISTER;;
131635937;Theodore;Nott;;M;SIN;678901245;theodore.nott.plaza@gmall.com;theodore.nott.plaza@lamejor.com;;HONORARIO;vespertino;HOGWARTS;MAGIA;LICENCIATURA;;
134254541;Viktor;Krum;;M;ATD;890123467;viktor.krum.duran@yeeha.com;viktor.krum.duran@lamejor.com;40;FULL TIME;vespertino;HOGWARTS;MAGIA;MAGISTER;;
134388880;Vincent;Crabbe;BARRIENTOS;M;SIN;901234578;vincent.crabbe.piturra@gmall.com;vincent.crabbe.piturra@lamejor.com;;HONORARIO;vespertino;HOGWARTS;MAGIA;MAGISTER;;
134450253;Voldemort;SeñorOscuro;EL INNOMBRABLE;M;JC1;234567902;voldemort.senoroscuros.elinnombrable@gmall.com;voldemort.senoroscuros.elinnombrable@lamejor.com;40;FULL TIME;vespertino;HOGWARTS;MAGIA;MAGISTER;;
136194663;Wilhelminan.;Grubbly-Plank;;M;JC1;345678913;wilhelmina.grubblyplank@gmall.com;wilhelmina.grubblyplank@lamejor.com;;HONORARIO;vespertino;HOGWARTS;MAGIA;MAGISTER;;
137062706;Xenophilius;Lovegood;SANDOVAL;;JC1;456789024;xenophilius.lovegood.gonzalez@coldmail.com;xenophilius.lovegood.gonzalez@lamejor.com;;HONORARIO;vespertino;HOGWARTS;MAGIA;MAGISTER;;
138033859;Zacharias;Smith;LATORRE;M;SIN;567890135;zacharias.smith@yeeha.com;zacharias.smith@lamejor.com;;HONORARIO;vespertino;HOGWARTS;MAGIA;MAGISTER;;
11262739;Alastor;Moody;;M;SIN;678901234;alastor.moody.munita@coldmail.com;alastor.moody.munita@lamejor.com;;HONORARIO;diurno;;;MAGISTER;;
14003526;Albus;Dumbledore;;M;JC1;890123456;albus.dumbledore@coldmail.com;albus.dumbledore@lamejor.com;40;FULL TIME;diurno;HOGWARTS;HECHICERÍA;DOCTOR;Director(a) Carrera;
14436822;Alecto;Carrow;DIETZ;M;SIN;901234567;alecto.carrow@gmall.com;alecto.carrow@lamejor.com;;HONORARIO;vespertino;;;LICENCIATURA;;
22219383;Chris ;Columbus;;M;;;;;;;vespertino;;;;;
22671518;Mike ;Newell;;M;PEAS;;;;;;vespertino;;;;;
22890939;Alfonso ;Cuarón;;M;;;;;;;vespertino;;;;;
23715659;Aurora;Sinistra;CONTRERAS;F;JC1;;aurora.sinistra@coldmail.com;aurora.sinistra@lamejor.com;;;vespertino;;;;;
24017462;Steve; Kloves;;M;;;;;;;;;;;;
26287315;Bathsheda;Babbling;;F;INSD;;bathsheda.babbling@gmall.com;bathsheda.babbling@lamejor.com;;;;;;;;
18130777;Anthony;Goldstein;GONZÁLEZ;M;AU;567890124;anthony.goldstein.contreras@gmall.com;anthony.goldstein.contreras@lamejor.com;;HONORARIO;diurno;;;MAGISTER ;;
29097218;Blaise;Zabini;;F;SIN;;blaise.zabini.pardo@gmall.com;blaise.zabini.pardo@lamejor.com;;;;;;;;
33556399;Charity;Burbage;BROCHET;F;SIN;;charity.burbage@coldmail.com;charity.burbage@lamejor.com;;;;;;;;
33977706;Cho;Chang;;;ATD;;cho.chang.gallo@coldmail.com;cho.chang.gallo@lamejor.com;;;;;;;;
36487208;Colin;Creevey;PÉREZ ;M;ATD;;colin.creevey.bermudez@gmall.com;colin.creevey.bermudez@lamejor.com;;;;;;;;
37452082;Cornelius;Fudge;VARGAS;M;JC1;;cornelius.fudge.avila@yeeha.com;cornelius.fudge.avila@lamejor.com;;;;;;;;
38307076;Cuthbert;Binns;;M;SIN;;cuthbert.binns@yeeha.com;cuthbert.binns@lamejor.com;;;;;;;;
44802483;Dennis;Creevey;;M;ASD;;dennis.creevey.nash@gmall.com;dennis.creevey.nash@lamejor.com;;;;;;MAGISTER;;
45197848;DESIGNAR;POR;;;JC1;;;;;;;;;;;
20117761;Arthur;Weasley;STIPPEL;M;SIN;789012346;arthur.weasley.diaz@yeeha.com;arthur.weasley.diaz@lamejor.com;40;FULL TIME;diurno;HOGWARTS;HECHICERÍA;LICENCIATURA;Coord. de Clínica ;
55077408;Firenze;0;;F;JC1;;firenze@yeeha.com;firenze@lamejor.com;;;;;;;;
55813714;Fred;Weasley;SILVA;M;O;;fred.weasley.marti@gmall.com;fred.weasley.marti@lamejor.com;;;;;;;;
56320673;George;Weasley;DIAZ;M;JC1;;george.weasley.valdivia@yeeha.com;george.weasley.valdivia@lamejor.com;;;;;;;;
59060195;Ginny;Weasley;;F;SIN;;ginny.weasley.rojas@gmall.com;ginny.weasley.rojas@lamejor.com;;;;;;;;
59354276;Godric ;Gryffindor;;M;SIN;;godric.gryffindor.stippel@yeeha.com;godric.gryffindor.stippel@lamejor.com;;;;;;;;
61624006;Gregory;Goyle;;M;INSR;;gregory.goyle.brochet@yeeha.com;gregory.goyle.brochet@lamejor.com;;;;;;;;
62262145;Harry;Potter;TORRALBO;M;ATD;;harry.potter.badilla@yeeha.com;harry.potter.badilla@lamejor.com;;;;;;DOCTOR;;
62513980;Helga ;Hufflepuff;;F;ATD;;helga.hufflepuff.bozo@coldmail.com;helga.hufflepuff.bozo@lamejor.com;;;;;;DOCTOR;;
62988035;Horace;Slughorn;;M;INSD;;horace.slughorn@gmall.com;horace.slughorn@lamejor.com;;;;;;;;
63083569;Irman.;Pince;;F;O;;irma.pince@coldmail.com;irma.pince@lamejor.com;;;;;;;;
63575658;James;Potter;REYES;M;SIN;;james.potter.cortes@coldmail.com;james.potter.cortes@lamejor.com;;;;;;;;
65751279;Justin;Finch-Fletchley;;M;TID;;justin.finch-fletchley@latorre.com;justin.finch-fletchley@@lamejor;;;;;;;;
66659119;Katie;Bell;MUNITA;F;ATD;;katie.bell.aguirre@coldmail.com;katie.bell.aguirre@lamejor.com;;;;;;;;
67153046;Kingsley;Shacklebolt;;M;INSD;;kingsley.shacklebolt.perez@gmall.com;kingsley.shacklebolt.perez@lamejor.com;;;;;;;;
68800048;Lavender;Brown;CONTRERAS;M;ASD;;lavender.brown@torralbo.com;lavender.brown@lamejor;;;;;;;;
69704998;Lee;Jordan;DIAZ;F;JC1;;lee.jordan.marin@yeeha.com;lee.jordan.marin@lamejor.com;;;;;;;;
77732028;Marietta;Edgecombe;FUENTES;F;INSD;;marietta.edgecombe@dietz.com;marietta.edgecombe@lamejor;;;;;;MAGISTER;;
83094025;Narcissa;Malfoy;MARTI;F;JC1;;narcissa.malfoy.ramirez@coldmail.com;narcissa.malfoy.ramirez@lamejor.com;;;;;;;;
26800262;Bellatrix;Lestrange;;F;INSD;234567892;bellatrix.lestrange.beltran@gmall.com;bellatrix.lestrange.beltran@lamejor.com;;HONORARIO;diurno;;;MAGISTER;;
30762778;Cedric;Diggory;PARDO;M;SIN;456789014;cedric.diggory.diaz@yeeha.com;cedric.diggory.diaz@lamejor.com;;HONORARIO;diurno;;;MAGISTER;;
36638287;Cormac;McLaggen;LARROUCAU;;JC1;890123458;cormac.mclaggen@valenzuela.com;cormac.mclaggen@lamejor;;HONORARIO;diurno;;;MAGISTER;;
41647869;Dean;Thomas;;M;ATD;456789015;dean.thomas.basaez@yeeha.com;dean.thomas.basaez@lamejor.com;;HONORARIO;vespertino;;;MAGISTER;;
46423089;Dolores;Umbridge;;F;ATD;789012348;dolores.umbridge.baquerizo@coldmail.com;dolores.umbridge.baquerizo@lamejor.com;;HONORARIO;vespertino;;;LICENCIATURA;;
96703051;Pomona;Sprout;YAÑEZ;F;SIN;;pomona.sprout@coldmail.com;pomona.sprout@lamejor.com;;;vespertino;;;;;
102372327;POR;DESIGNAR;;;O;;;;;;vespertino;;;;;
103288372;POR;DESIGNAR;;;TID;;;;;;vespertino;;;;;
47906343;Draco;Malfoy;;M;JT1;901234570;draco.malfoy.yanez@gmall.com;draco.malfoy.yanez@lamejor.com;;HONORARIO;vespertino;;;MAGISTER;;
78902830;Minerva;McGonagall;AVILA;F;JC1;;minerva.mcgonagall@gmall.com;minerva.mcgonagall@lamejor.com;;HONORARIO;vespertino;;;MAGISTER;;
