RUN;DV;PATERNO;MATERNO;NOMBRES:;MAIL PERSONAL;MAIL INSTITUCIONAL;TELÉFONO;CONTRATO;JORNADA DIURNO;JORNADA VESPERTINO;DEDICACIÓN;GRADO ACADÉMICO;JERARQUÍA;CARGO
21005559;3;RIVEROS ;MARTI;JOSÉ MARCO;RIVEROS .MARTI@llimail.kom;JM.RIVEROS @lamejor.cl;914006228;HONORARIO;;;;;INSTRUCTOR DOCENTE;
16110386;1;MIRANDA ;MARCELLI;JORGINA ANDRES;MIRANDA .MARCELLI@llimail.kom;JA.MIRANDA @lamejor.cl;950831774;HONORARIO;diurno;;;DOCTOR ;ASISTENTE DOCENTE;
10000620;9;GUEVARA;BASAEZ;HERNÁN GLADYS;GUEVARA.BASAEZ@llimail.kom;HG.GUEVARA@lamejor.cl;938514653;HONORARIO;diurno;;;LICENCIATURA;;
19306120;K;ALBORNOZ;YOUNG;FRANCISCO ALEJANDRO;ALBORNOZ.YOUNG@llimail.kom;FA.ALBORNOZ@lamejor.cl;929928246;HONORARIO;diurno;;;MAGISTER;PROFESOR ASISTENTE DOCENTE;
19395783;0;RAMIREZ;RUBILAR;MARÍA GLORIA;RAMIREZ.RUBILAR@llimail.kom;MG.RAMIREZ@lamejor.cl;967666473;HONORARIO;;vespertino;;MAGISTER;PROFESOR ASISTENTE DOCENTE;
5358837;3;FUENTES ;MEDALLA;BENOIT HELEN;FUENTES .MEDALLA@llimail.kom;BH.FUENTES @lamejor.cl;954143265;HONORARIO;diurno;;;MAGISTER;;
19887007;3;RIVERA;ZARATE ;FELIPE NATALIA;;FN.RIVERA@lamejor.cl;;FULL TIME;;;40;0;PROFESOR ASISTENTE REGULAR;Profesor por Jornada
14760463;9;MANSILLA;PARISI;ANDRES ALFRED;MANSILLA.PARISI@llimail.kom;AA.MANSILLA@lamejor.cl;930168991;HONORARIO;diurno;;;MAGISTER;COMISIÓN SUPERIOR ASOCIADA DOCENTE;
14076589;9;UGARTE;B0BADILLA;ANTONIO EDGARDO;UGARTE.B0BADILLA@llimail.kom;AE.UGARTE@lamejor.cl;952590263;FULL TIME;diurno;vespertino;40;DOCTOR;TITULAR DOCENTE;Académico Investigador
5209083;0;AVILA;BASAEZ;BEATRIZ RUBEN;AVILA.BASAEZ@llimail.kom;BR.AVILA@lamejor.cl;942985825;HONORARIO;diurno;vespertino;;MAGISTER;PROFESOR TITULAR DOCENTE;Profesor
13282129;K;FERNANDEZ;ULLOA;YASNA SAMUEL;FERNANDEZ.ULLOA@llimail.kom;YS.FERNANDEZ@lamejor.cl;959848321;HONORARIO;diurno;;;MAGISTER;;
21937717;0;OLAVE;LABARCA;MAITE ROMÁN;OLAVE.LABARCA@llimail.kom;MR.OLAVE@lamejor.cl;941616962;HONORARIO;diurno;vespertino;;MAGISTER;PROFESOR ASISTENTE DOCENTE;
16183736;9;MARTI;ASPILLAGA;JIMENA CLAUDIO;MARTI.ASPILLAGA@llimail.kom;JC.MARTI@lamejor.cl;917007341;HONORARIO;;vespertino;;MAGISTER;PROFESOR ASOCIADO DOCENTE;
5777395;5;PONCE DE LEON;HAASE;REBECA DOBRA;PONCE DE LEON.HAASE@llimail.kom;RD.PONCE DE LEON@lamejor.cl;982411650;HONORARIO;diurno;vespertino;;MAGISTER;;
17571237;7;BESOAIN;LATORRE;NAIARA GABRIEL;BESOAIN.LATORRE@llimail.kom;NG.BESOAIN@lamejor.cl;965634001;HONORARIO;diurno;;;MAGISTER;;
18157686;8;ESCUDERO;CAMPILLAY;LUIS CRISTÓBAL;ESCUDERO.CAMPILLAY@llimail.kom;LC.ESCUDERO@lamejor.cl;935214073;HONORARIO;;;;;PROFESOR ASOCIADO DOCENTE;
12130822;6;FIGUEROA ;LARA;LAUTARO CRISTIAN;FIGUEROA .LARA@llimail.kom;LC.FIGUEROA @lamejor.cl;916309276;HONORARIO ;diurno;;;MAGISTER;;
8524557;5;JARA;VILLEGAS;PATRICIA LAUTARO;JARA.VILLEGAS@llimail.kom;PL.JARA@lamejor.cl;969507176;FULL TIME;;;40;MAGISTER;;Profesor por Jornada
14620557;1;BORAT;PULGAR;MARCELO TAIRY;;MT.BORAT@lamejor.cl;932491632;HONORARIO;diurno;;;LICENCIATURA;;
6969423;8;IRARRAZABAL;ELEXPURU;ROMÁN FELIPE;IRARRAZABAL.ELEXPURU@llimail.kom;RF.IRARRAZABAL@lamejor.cl;954696796;HONORARIO;diurno;;;LICENCIATURA;PROFESOR ASISTENTE DOCENTE;
7739323;9;DOMURATH;NAUDON;JÖRG PAMELA;DOMURATH.NAUDON@llimail.kom;JP.DOMURATH@lamejor.cl;964472248;HONORARIO;;vespertino;JORNADA;MAGISTER;;
19636327;2;MARIN;VALLADARES;DOBRA ANA;MARIN.VALLADARES@llimail.kom;DA.MARIN@lamejor.cl;971874749;diurno;;;10;MAGISTER;SIN JERARQUIZAR;
9652450;0;YOUNG;LARA;CRISTOBAL RICARDO;YOUNG.LARA@llimail.kom;CR.YOUNG@lamejor.cl;937343126;HONORARIO;diurno;;10;MAGISTER;PROFESOR ASOCIADO DOCENTE;
11181112;1;ALBORNOZ;RIVEROS ;RAUL CONRAD;ALBORNOZ.RIVEROS @llimail.kom;RC.ALBORNOZ@lamejor.cl;928907282;HONORARIO;diurno;vespertino;10;MAGISTER;PROFESOR ASOCIADO DOCENTE;
5885015;8;PITURRA ;ARAYA;RICHARD FABIOLA;PITURRA .ARAYA@llimail.kom;RF.PITURRA @lamejor.cl;920106516;FULL TIME;diurno;;40;MAGISTER;ASOCIADO REGULAR;Académico Investigador
4883169;8;SOTO;GIRALDO;NELSON PATRICIA;SOTO.GIRALDO@llimail.kom;NP.SOTO@lamejor.cl;934783814;FULL TIME;;vespertino;40;DOCTOR;PROFESOR ASOCIADO DOCENTE;Director Inst. Investigación y Postgra
18025510;6;MARIN ;SARRÁS;PAULA GERARDO;MARIN .SARRÁS@llimail.kom;PG.MARIN @lamejor.cl;916321021;FULL TIME;;;40;0;PROFESOR ASISTENTE DOCENTE;Profesor por Jornada
7072240;3;ABARCA;ESQUIVEL;FEDERICO CRISTOBAL;ABARCA.ESQUIVEL@llimail.kom;FC.ABARCA@lamejor.cl;950484889;HONORARIO;;vespertino;10;0;;
4327537;4;VALDERRAMA;CÚNEO;ALONSO JAVIER;VALDERRAMA.CÚNEO@llimail.kom;AJ.VALDERRAMA@lamejor.cl;947905617;HONORARIO;diurno;;10;LICENCIATURA;;
19894159;2;FONTENA;GARATE ;ALDO VICTOR;FONTENA.GARATE @llimail.kom;AV.FONTENA@lamejor.cl;954379988;HONORARIO;diurno;;10;MAGISTER;;
19519424;7;PASTENE;DUCOING;HERNÁN CRISTÓBAL;PASTENE.DUCOING@llimail.kom;HC.PASTENE@lamejor.cl;920628438;HONORARIO;diurno;;10;MAGISTER;;
3880934;0;VILLAVICENCIO;RAMÍREZ;CAROLINA INGRID;VILLAVICENCIO.RAMÍREZ@llimail.kom;CI.VILLAVICENCIO@lamejor.cl;935628876;FULL TIME;;;40;0;PROFESOR ASISTENTE DOCENTE;Profesor por Jornada
9323699;5;MATURANA;ABARCA;EDUARDO VICTORIA;MATURANA.ABARCA@llimail.kom;EV.MATURANA@lamejor.cl;932970724;HONORARIO;;vespertino;10;0;INSTRUCTOR DOCENTE;
22101209;8;JARAMILLO;LUSIC;BRAULIO JULIO;JARAMILLO.LUSIC@llimail.kom;BJ.JARAMILLO@lamejor.cl;928847107;FULL TIME;diurno;vespertino;40;DOCTOR;PROFESOR ASISTENTE REGULAR;Profesor por Jornada
10932457;4;OÑATE;DINI;RUBEN MARÍA-JOSÉ;OÑATE.DINI@llimail.kom;RM.OÑATE@lamejor.cl;959294866;FULL TIME;diurno;vespertino;40;DOCTOR;;Académico Investigador
8176564;4;DUCOING;CRUZ;MITZI RICHARD;DUCOING.CRUZ@llimail.kom;MR.DUCOING@lamejor.cl;955262829;HONORARIO;diurno;vespertino;JORNADA;DOCTOR;;
4982749;1;RAYMOND ;CASTILLO;PAULA FERNANDA;RAYMOND .CASTILLO@llimail.kom;PF.RAYMOND @lamejor.cl;962141383;HONORARIO;diurno;;JORNADA;MAGISTER;;
21817540;K;ASTUDILLO;BASCUÑÁN;SILVIO MACARENA;ASTUDILLO.BASCUÑÁN@llimail.kom;SM.ASTUDILLO@lamejor.cl;928457816;FULL TIME;diurno;;40;DOCTOR;ASOCIADA REGULAR;Académico Investigador
10796028;0;CONTRERAS;MARTIN;VICTOR PAMELA;CONTRERAS.MARTIN@llimail.kom;VP.CONTRERAS@lamejor.cl;926305991;HONORARIO;;;10;;;
9142516;0;PARISI;ALARCÓN;NATALI MITZI;PARISI.ALARCÓN@llimail.kom;NM.PARISI@lamejor.cl;923750439;FULL TIME;;;40;0;PROFESOR ASOCIADO DOCENTE;Profesor por Jornada
17529494;7;TAPIA;KUSCH;SERGIO ANA;TAPIA.KUSCH@llimail.kom;SA.TAPIA@lamejor.cl;910869668;FULL TIME;;;40;0;PROFESOR ASISTENTE DOCENTE;Coordinador Docente y Formación Contin
20329037;1;BASCUÑÁN;AHUMADA;RICARDO MAXIMILIANO;BASCUÑÁN.AHUMADA@llimail.kom;RM.BASCUÑÁN@lamejor.cl;977180942;HONORARIO;;vespertino;10;LICENCIATURA;;
12881069;7;ASTUDILLO;MARTI;NICOLE NATALIA;ASTUDILLO.MARTI@llimail.kom;NN.ASTUDILLO@lamejor.cl;984181455;HONORARIO;diurno;;10;MAGISTER;INSTRUCTOR DOCENTE;
19357400;0;KUSCH;PONCE DE LEON;KARLA LORAYNE;KUSCH.PONCE DE LEON@llimail.kom;KL.KUSCH@lamejor.cl;933574361;FULL TIME;diurno;vespertino;40;0;COMISIÓN SUPERIOR ASOCIADO REGULAR;Director(a) Carrera
17266312;3;MOREIRA ;ZARATE ;TAMARA EMILIO;MOREIRA .ZARATE @llimail.kom;TE.MOREIRA @lamejor.cl;915192578;FULL TIME;diurno;;40;MAGISTER;ASISTENTE REGULAR;Académico Investigador
10800937;9;TAPIA ;CALDERON ;JIMENA REBECA;;JR.TAPIA @lamejor.cl;;HONORARIO;;;;;INSTRUCTORA DOCENTE;
6178078;3;PIMENTEL ;ARRIETA;MARITZA MYLENE;PIMENTEL .ARRIETA@llimail.kom;MM.PIMENTEL @lamejor.cl;927986411;HONORARIO;;vespertino;10;MAGISTER;;
7977957;4;AGUIRRE ;ITURRA;HUGO SEBASTIAN;AGUIRRE .ITURRA@llimail.kom;HS.AGUIRRE @lamejor.cl;985979073;FULL TIME;diurno;vespertino;40;MAGISTER;PROFESOR ASOCIADO DOCENTE;Profesor por Jornada
11216997;8;ZARATE ;BASAEZ;JULIO KAROL;ZARATE .BASAEZ@llimail.kom;JK.ZARATE @lamejor.cl;943447386;FULL TIME;;vespertino;40;MAGISTER;PROFESOR ASOCIADO DOCENTE;Director(a) Carrera
6524012;8;DÍAZ;FUENTES;FERNANDA DANIELA;DÍAZ.FUENTES@llimail.kom;FD.DÍAZ@lamejor.cl;938477554;HONORARIO;diurno;;10;MAGISTER;;
5087164;8;GONZALVEZ;REYES;CLAUDIA VICTORIA;GONZALVEZ.REYES@llimail.kom;CV.GONZALVEZ@lamejor.cl;963816478;HONORARIO;;vespertino;10;0;ASISTENTE DOCENTE;
13309953;K;YOUNG;PÉREZ ;BRACEY ANDRES;YOUNG.PÉREZ @llimail.kom;BA.YOUNG@lamejor.cl;939425363;HONORARIO;diurno;;10;MAGISTER;SIN JERARQUIZAR;
6033084;3;URREJOLA;RAMIREZ;MAGALY RAUL;URREJOLA.RAMIREZ@llimail.kom;MR.URREJOLA@lamejor.cl;962261949;diurno;;;10;MAGISTER;;
20207255;8;PONCE DE LEON;LEIVA;ROBERTO JULIO;PONCE DE LEON.LEIVA@llimail.kom;RJ.PONCE DE LEON@lamejor.cl;923207035;FULL TIME;;;40;0;PROFESORA ASISTENTE REGULAR;Profesor por Jornada
5120878;10;FIGUEROA;SARRÁS;PAMELA CHRISTOPHER;;PC.FIGUEROA@lamejor.cl;;HONORARIO;;;;;INSTRUCTOR DOCENTE;
8403073;7;VILLAR;CONTRERAS;MARÍA FRANCISCO;VILLAR.CONTRERAS@llimail.kom;MF.VILLAR@lamejor.cl;940168171;HONORARIO;diurno;;10;MAGISTER;SIN JERARQUIZAR;
5721194;7;AGÜERO;ARRIETA;DANIELA ROMÁN;AGÜERO.ARRIETA@llimail.kom;DR.AGÜERO@lamejor.cl;985248904;FULL TIME;diurno;;40;MAGISTER;ASISTENTE DOCENTE;Profesor por Jornada
8465509;5;DIETZ;MARINO;ÁNGELA SABAS;DIETZ.MARINO@llimail.kom;ÁS.DIETZ@lamejor.cl;959778006;FULL TIME;diurno;;40;MAGISTER;;Profesor por Jornada
10098320;K;HAASE;LABARCA;MITZI CRISTIAN;HAASE.LABARCA@llimail.kom;MC.HAASE@lamejor.cl;961885308;HONORARIO;diurno;;10;MAGISTER;;
21291470;4;BENAVIDES;STIPPEL;GABRIEL JIMENA;BENAVIDES.STIPPEL@llimail.kom;GJ.BENAVIDES@lamejor.cl;981671918;HONORARIO;;vespertino;10;LICENCIATURA;;
21624235;0;ESQUIVEL;BROCHET;MYLENE YASNA;ESQUIVEL.BROCHET@llimail.kom;MY.ESQUIVEL@lamejor.cl;919804076;HONORARIO;diurno;;10;LICENCIATURA;SIN JERARQUIZAR;
15831810;3;ABARCA;GUZMÁN;GERARDO ANA;ABARCA.GUZMÁN@llimail.kom;GA.ABARCA@lamejor.cl;974117954;FULL TIME;diurno;;40;MAGISTER;;Director (a) Centro de Sol. Colab.de C
15953361;8;ROMERO;ZAMORA;IRINA FERNANDA;ROMERO.ZAMORA@llimail.kom;IF.ROMERO@lamejor.cl;;HONORARIO;diurno;;;LICENCIATURA;INSTRUCTOR DOCENTE;
19819656;7;ZAMORA;CALDERON ;ANDRES MARIA;;AM.ZAMORA@lamejor.cl;;FULL TIME;;;;0;PROFESOR ASOCIADO REGULAR;Académico Investigador
9903217;3;VARELA;LANDAETA;CAROLINA MITZI;VARELA.LANDAETA@llimail.kom;CM.VARELA@lamejor.cl;933756190;HONORARIO;diurno;;10;MAGISTER;;
14172004;15;GÓMEZ;BUSTOS;TAMARA CRISTINA;GÓMEZ.BUSTOS@llimail.kom;TC.GÓMEZ@lamejor.cl;955413485;HONORARIO;;;JORNADA;;;
7798148;16;AZÓCAR;DIETZ;MAGALY SERGIO;;MS.AZÓCAR@lamejor.cl;;HONORARIO;;;;;COMISIÓN SUPERIOR ASOCIADO REGULAR;
19175346;K;MIROSEVIC;VALDES;ROMINA JORGE;MIROSEVIC.VALDES@llimail.kom;RJ.MIROSEVIC@lamejor.cl;968497937;diurno;;;10;MAGISTER;INSTRUCTOR DOCENTE;
7767670;K;NOVOA;CAMPILLAY;MAURIZIO CHRISTOPHER;NOVOA.CAMPILLAY@llimail.kom;MC.NOVOA@lamejor.cl;942388495;HONORARIO;diurno;;10;MAGISTER;;
13295414;9;MIROSEVIC;BERMUDEZ;SILVIO CLAUDIA;MIROSEVIC.BERMUDEZ@llimail.kom;SC.MIROSEVIC@lamejor.cl;949966224;HONORARIO;;;10;;;
16089042;3;VERDUGO;YAÑEZ;ROLANDO ROBERTO;VERDUGO.YAÑEZ@llimail.kom;RR.VERDUGO@lamejor.cl;973870362;HONORARIO;;;10;;INSTRUCTOR DOCENTE;
21806216;4;MUÑOZ;SEPÚLVEDA;MIGUEL CATALINA;MUÑOZ.SEPÚLVEDA@llimail.kom;MC.MUÑOZ@lamejor.cl;946676779;HONORARIO;diurno;;10;MAGISTER;;
6961556;4;PÉREZ ;TRUJILLO;MARITZA FRANCISCA;PÉREZ .TRUJILLO@llimail.kom;MF.PÉREZ @lamejor.cl;932176380;FULL TIME;diurno;;40;MAGISTER;;Profesor por Jornada
5768767;7;CAMPILLAY;IGOR;MAURICIO PAULINA;CAMPILLAY.IGOR@llimail.kom;MP.CAMPILLAY@lamejor.cl;987308347;HONORARIO;diurno;;10;LICENCIATURA;TITULAR DOCENTE;
4050173;1;PONCE DE LEON;MUÑOZ;ESTEBAN CONRAD;PONCE DE LEON.MUÑOZ@llimail.kom;EC.PONCE DE LEON@lamejor.cl;928446159;HONORARIO;diurno;;10;MAGISTER;;
9899914;1;DUCOING;DUCOING;BEATRIZ PATRICIO;DUCOING.DUCOING@llimail.kom;BP.DUCOING@lamejor.cl;950639184;HONORARIO;diurno;;10;MAGISTER;PROFESOR ASISTENTE DOCENTE;
8709765;4;SZCZARANSKI;URZUA;CONRAD ITALO;SZCZARANSKI.URZUA@llimail.kom;CI.SZCZARANSKI@lamejor.cl;963239473;HONORARIO;diurno;;10;MAGISTER;;
15525747;8;PLAZA;ERICES;FERNANDA BEATRIZ;PLAZA.ERICES@llimail.kom;FB.PLAZA@lamejor.cl;971908930;HONORARIO;;;10;;PROFESORA ASISTENTE DOCENTE;
5098286;K;RIQUELME;IGOR;PATRICIA ARIEL;RIQUELME.IGOR@llimail.kom;PA.RIQUELME@lamejor.cl;917829271;HONORARIO;;;10;;PROFESORA ASISTENTE DOCENTE;
5428536;6;MARTI;PUELLES;ALONSO SARA;MARTI.PUELLES@llimail.kom;AS.MARTI@lamejor.cl;939749675;HONORARIO;diurno;vespertino;10;MAGISTER;INSTRUCTOR DOCENTE;
11345480;5;PARISI;VALENZUELA ;MANUEL MANUEL;PARISI.VALENZUELA @llimail.kom;MM.PARISI@lamejor.cl;928128123;HONORARIO;diurno;;10;MAGISTER;;
13563385;1;MILLA;DEVIA;BRAULIO DENISSE;MILLA.DEVIA@llimail.kom;BD.MILLA@lamejor.cl;924861711;FULL TIME;diurno;;20;MAGISTER;PROFESOR TITULAR DOCENTE;Profesor 1/2 Jornada
16938644;2;ASPILLAGA;REBOLLEDO;MARGARITA JORGE;ASPILLAGA.REBOLLEDO@llimail.kom;MJ.ASPILLAGA@lamejor.cl;947434161;FULL TIME;;;40;0;TITULAR DOCENTE;Académico Investigador
18868982;3;DIETZ;COPPELLI;GLADYS ALEJANDRO;DIETZ.COPPELLI@llimail.kom;GA.DIETZ@lamejor.cl;932333157;HONORARIO;diurno;vespertino;10;LICENCIATURA;PROFESOR TITULAR DOCENTE;
21284477;9;BESOAIN;CORNEJO;TAMARA ITALO;BESOAIN.CORNEJO@llimail.kom;TI.BESOAIN@lamejor.cl;954613021;HONORARIO;diurno;;10;MAGISTER;;
21570957;4;MERCAIDO;LEIVA;IRINA HERNÁN;MERCAIDO.LEIVA@llimail.kom;IH.MERCAIDO@lamejor.cl;957240508;HONORARIO;diurno;;10;MAGISTER;SIN JERARQUIZAR;
17824167;5;VALLADARES;VASQUEZ;KARLA EMILIO;VALLADARES.VASQUEZ@llimail.kom;KE.VALLADARES@lamejor.cl;967834737;HONORARIO;;;10;;ASOCIADA DOCENTE;
14515176;4;TORO;ZUÑIGA;MANUEL JORGE;TORO.ZUÑIGA@llimail.kom;MJ.TORO@lamejor.cl;962472277;FULL TIME;diurno;vespertino;40;MAGISTER;PROFESOR ASISTENTE DOCENTE;Coord. de Seguimiento y Apoyo al Egres
10496689;2;GUEVARA;GONZÁLEZ;INGRID ROLANDO;GUEVARA.GONZÁLEZ@llimail.kom;IR.GUEVARA@lamejor.cl;960519935;FULL TIME;diurno;;40;MAGISTER;PROFESORA ASISTENTE REGULAR;Secretaria Ejecutiva del Centro ...
16611891;7;MICHEA;VALLEJO;HORTENCIA CHRISTOPHER;MICHEA.VALLEJO@llimail.kom;HC.MICHEA@lamejor.cl;971077136;HONORARIO;;vespertino;10;MAGISTER;COMISIÓN SUPERIOR ASOCIADO DOCENTE;
6888020;7;FINOL;BADILLA;CATALINA EUGENIO;FINOL.BADILLA@llimail.kom;CE.FINOL@lamejor.cl;987276045;FULL TIME;diurno;;40;MAGISTER;INSTRUCTOR DOCENTE;Profesor por Jornada
11678529;0;BERMUDEZ;MOREIRA ;ALEX CRISTOBAL;BERMUDEZ.MOREIRA @llimail.kom;AC.BERMUDEZ@lamejor.cl;910328847;HONORARIO;diurno;vespertino;10;MAGISTER;;
9260788;8;PÉREZ ;JOFRE;CONRAD LORAYNE;PÉREZ .JOFRE@llimail.kom;CL.PÉREZ @lamejor.cl;941814869;HONORARIO;diurno;;10;MAGISTER;PROFESOR ASISTENTE DOCENTE;
15066943;2;ADELLAN;MIRALLES;EMILIE TAIRY;;ET.ADELLAN@lamejor.cl;;FULL TIME;;;40;0;PROFESOR TITULARREGULAR;Académico Investigador
16159977;1;ROMERO;MEDALLA;ALFRED FERNANDA;ROMERO.MEDALLA@llimail.kom;AF.ROMERO@lamejor.cl;945384920;HONORARIO;diurno;;10;LICENCIATURA;;
6369943;3;RIVEROS ;VALENCIA;CARLOS EMILIO;RIVEROS .VALENCIA@llimail.kom;CE.RIVEROS @lamejor.cl;948030994;FULL TIME;;vespertino;40;DOCTOR;ASISTENTE REGULAR;Director del  Área
18975538;7;GOTSCHLICH ;GALLARDO;PABLO TAMARA;;PT.GOTSCHLICH @lamejor.cl;;HONORARIO;diurno;;;MAGISTER;;
17499580;1;PICCIANI;ZILLMANN;KAROL MARIELA;PICCIANI.ZILLMANN@llimail.kom;KM.PICCIANI@lamejor.cl;943733042;HONORARIO;diurno;;10;MAGISTER;ASISTENTE DOCENTE;
5074897;7;MONDACA;VIANA;ANGÉLICA TAMARA;MONDACA.VIANA@llimail.kom;AT.MONDACA@lamejor.cl;977001258;HONORARIO;diurno;;10;MAGISTER;PROFESOR ASISTENTE DOCENTE;
7392992;7;VERA;KUSCH;NELSON IRINA;VERA.KUSCH@llimail.kom;NI.VERA@lamejor.cl;967082395;FULL TIME;diurno;vespertino;40;MAGISTER;PROFESOR ASOCIADO DOCENTE;Profesor por Jornada
21122698;8;VALENZUELA ;APABLAZA;CAMILO SUSAN;VALENZUELA .APABLAZA@llimail.kom;CS.VALENZUELA @lamejor.cl;953307524;HONORARIO;;vespertino;10;LICENCIATURA;PROFESOR ASISTENTE DOCENTE;
11503727;4;RAMÍREZ;ELEXPURU;MARGARITA KATHERINE;RAMÍREZ.ELEXPURU@llimail.kom;MK.RAMÍREZ@lamejor.cl;971415298;HONORARIO;diurno;;10;MAGISTER;;
18888259;6;GONZALVEZ;RAMIREZ;NATALI IGNACIO;GONZALVEZ.RAMIREZ@llimail.kom;NI.GONZALVEZ@lamejor.cl;941112892;HONORARIO;diurno;;10;MAGISTER;ASOCIADA DOCENTE;
17426870;1;TEPPER;BAHAMONDE;SANTIAGO ROBERTO;TEPPER.BAHAMONDE@llimail.kom;SR.TEPPER@lamejor.cl;933968850;HONORARIO;;;10;;INSTRUCTOR DOCENTE;
11975989;3;DURAN;MORALES;ROSA NEVILLE;DURAN.MORALES@llimail.kom;RN.DURAN@lamejor.cl;921056121;FULL TIME;;;40;0;ASOCIADO DOCENTE;Director(a) Carrera (i)
16295219;9;DELOOZ;BOZO;JULIO PAMELA;DELOOZ.BOZO@llimail.kom;JP.DELOOZ@lamejor.cl;939913258;HONORARIO;diurno;vespertino;10;MAGISTER;PROFESOR TITULAR DOCENTE;
18011748;8;LIRA;GONZALEZ;RICHARD ALEJANDRA;LIRA.GONZALEZ@llimail.kom;RA.LIRA@lamejor.cl;948689265;FULL TIME;diurno;vespertino;40;DOCTOR;PROFESOR ASOCIADO REGULAR;Director Depto. 
17495734;2;SEURA;CASTRO ;KATHERINE CRISTINA;SEURA.CASTRO @llimail.kom;KC.SEURA@lamejor.cl;924294871;HONORARIO;diurno;vespertino;10;LICENCIATURA;SIN JERARQUIZAR;
10797309;5;JARAMILLO;RENARD;CAROLINA PABLO;JARAMILLO.RENARD@llimail.kom;CP.JARAMILLO@lamejor.cl;933753241;HONORARIO;;;10;;SIN JERARQUIZAR;
11985627;0;LANDSBERGER;CASTILLO;LUIS JÖRG;LANDSBERGER.CASTILLO@llimail.kom;LJ.LANDSBERGER@lamejor.cl;925053860;FULL TIME;diurno;vespertino;40;MAGISTER;PROFESOR ASOCIADO DOCENTE;Decano(a)
18463474;0;COR0DVA;PITURRA ;PAOLA ERICK;COR0DVA.PITURRA @llimail.kom;PE.COR0DVA@lamejor.cl;951459546;FULL TIME;diurno;;40;LICENCIATURA;INSTRUCTOR DOCENTE;Director Clínica
10223426;6;DÍAZ;DIETZ;SILVIO MARÍA-JOSÉ;DÍAZ.DIETZ@llimail.kom;SM.DÍAZ@lamejor.cl;920029874;HONORARIO;diurno;vespertino;10;MAGISTER;PROFESORA ASISTENTE DOCENTE;
7866803;1;FUENTES;BOZO;VIVIAN REBECA;FUENTES.BOZO@llimail.kom;VR.FUENTES@lamejor.cl;968085579;HONORARIO;;;10;;INSTRUCTORA DOCENTE;
21058829;4;ZARATE ;YOUNG;FERNANDA GASTÓN;ZARATE .YOUNG@llimail.kom;FG.ZARATE @lamejor.cl;972195232;HONORARIO;;;10;;PROFESOR ASISTENTE DOCENTE;
17894730;8;GONZALVEZ;CONTRERAS;MYLENE BRAULIO;GONZALVEZ.CONTRERAS@llimail.kom;MB.GONZALVEZ@lamejor.cl;970156706;HONORARIO;diurno;;JORNADA;MAGISTER;PROFESOR ASOCIADO DOCENTE;Director(a) Escuela
